date,rain,temp,rhum,sun,vis
01/12/2016 00:00,0,1.38,94.67,6.9,8979
02/12/2016 00:00,0,3.29,90.79,0.1,14100
03/12/2016 00:00,0.2,6.6,77.42,0.1,30000
04/12/2016 00:00,0,4.84,76.5,0.5,30417
05/12/2016 00:00,0,5,86.58,0,20167
06/12/2016 00:00,0.5,10.55,91.71,0,11658
07/12/2016 00:00,0.1,13.81,85.75,0.1,24042
08/12/2016 00:00,3.4,10.1,90.83,5.6,20925
09/12/2016 00:00,0.2,12.36,84.08,0,21500
10/12/2016 00:00,0,8.21,88.5,0,20333
11/12/2016 00:00,0,6.55,89.38,1.1,23292
12/12/2016 00:00,1.8,7.63,93.88,0,16542
13/12/2016 00:00,3.5,10.3,91.92,3.6,16167
14/12/2016 00:00,9,8.37,91.29,0,19208
15/12/2016 00:00,1.8,7.8,88.42,3.4,18188
16/12/2016 00:00,7.1,6.84,94.13,0.3,21208
17/12/2016 00:00,0,4.51,85.58,4.5,26458
18/12/2016 00:00,0,7.01,80.75,4.5,29167
19/12/2016 00:00,0,5.73,90.5,0.7,21688
20/12/2016 00:00,1.9,3.96,89.5,2.3,15375
21/12/2016 00:00,2,5.78,80.13,4.3,23917
22/12/2016 00:00,0.1,6,78.63,3.8,28333
23/12/2016 00:00,5.7,7.8,78.58,1.3,19083
24/12/2016 00:00,2.4,7.56,83.79,0.5,19083
25/12/2016 00:00,1.7,10.53,81.54,1,20083
26/12/2016 00:00,0.4,4.6,76.67,6.2,26250
27/12/2016 00:00,0,4.85,76.17,1.5,30417
28/12/2016 00:00,0,4.26,87.79,6.7,21808
29/12/2016 00:00,0,5.86,86.96,0,28792
30/12/2016 00:00,0,10.5,81.08,0,27292
31/12/2016 00:00,3.9,9.35,80.25,1.6,27667
01/12/2017 00:00,0,1.82,85.38,5.4,27292
02/12/2017 00:00,0,5.48,97.58,0.1,11338
03/12/2017 00:00,0.8,7.7,95.96,0,18604
04/12/2017 00:00,0,6.82,91.96,0.1,20542
05/12/2017 00:00,0,7.01,83.42,0.1,27375
06/12/2017 00:00,1.3,11.16,81.04,0.1,26875
07/12/2017 00:00,4.3,5.69,82.71,1.7,25917
08/12/2017 00:00,0.1,0.83,89.63,4.9,27333
09/12/2017 00:00,0,0.6,88.25,0,29375
10/12/2017 00:00,13.2,1.46,85,0,27625
11/12/2017 00:00,0,-0.52,90.46,4.4,27708
12/12/2017 00:00,0.8,2.93,90.54,0,20333
13/12/2017 00:00,4.7,4.36,87.13,2.5,20958
14/12/2017 00:00,0.6,3.18,87.79,1.6,27417
15/12/2017 00:00,0.1,4.04,84.21,5.9,27292
16/12/2017 00:00,0,3.03,91.83,2.7,26875
17/12/2017 00:00,0.8,7.44,92.96,0.1,16250
18/12/2017 00:00,0,4.81,88.92,5.2,24417
19/12/2017 00:00,0,9.84,92.25,0.2,19583
20/12/2017 00:00,0.1,10.8,93.88,0,16125
21/12/2017 00:00,1.7,11.17,90.5,0.3,19233
22/12/2017 00:00,0.2,10,97.38,0,10417
23/12/2017 00:00,0,9.47,94.33,1.6,16771
24/12/2017 00:00,0.2,10.76,85.29,0.1,26667
25/12/2017 00:00,13.4,5.99,93.25,0,15750
26/12/2017 00:00,0,2.18,90.29,3.7,28000
27/12/2017 00:00,0,0.86,88.04,5.8,36667
28/12/2017 00:00,0,0.76,87.83,5.1,26667
29/12/2017 00:00,6.7,4.79,81.25,3.4,24583
30/12/2017 00:00,13.9,6.69,85.46,0.4,18792
31/12/2017 00:00,0.2,6.73,77.75,3.7,27708
01/12/2018 00:00,6.1,8.28,95.33,0.1,10525
02/12/2018 00:00,3,10.63,88.92,1.2,18979
03/12/2018 00:00,3.3,6.11,88.5,5.1,33542
04/12/2018 00:00,0.5,3.28,86.29,0.1,32917
05/12/2018 00:00,14.1,8.7,96.71,0.2,9138
06/12/2018 00:00,1.8,11.23,89.17,0,21333
07/12/2018 00:00,4.3,7.64,79.46,4.4,26083
08/12/2018 00:00,2.5,8.17,81.88,1.1,18000
09/12/2018 00:00,1,7.2,86.25,5.6,24333
10/12/2018 00:00,0.1,5.9,88.54,0.2,28333
11/12/2018 00:00,1.8,7.44,91.29,0.1,19063
12/12/2018 00:00,3.5,8.45,90.46,0.6,18958
13/12/2018 00:00,0.2,6.24,73.79,0,21833
14/12/2018 00:00,2.8,5.85,82.33,0,15333
15/12/2018 00:00,10.5,7.09,90.5,0,9417
16/12/2018 00:00,0.2,5.43,83.17,0.1,29583
17/12/2018 00:00,0,8.28,81.96,0.1,25958
18/12/2018 00:00,3.9,9.15,81.79,0.5,23833
19/12/2018 00:00,0.2,6.36,78.5,1.5,33333
20/12/2018 00:00,0.9,6.85,88.63,1.4,22417
21/12/2018 00:00,3.7,6.84,90.21,0.1,16333
22/12/2018 00:00,0.8,7.48,86.04,2.6,31042
23/12/2018 00:00,15.5,6.16,97.25,0,10479
24/12/2018 00:00,0,7.2,91.92,0.1,27417
25/12/2018 00:00,0,7.82,94.42,0,9396
26/12/2018 00:00,0,9.49,85.88,1.5,25083
27/12/2018 00:00,0,9.02,87.79,0,27292
28/12/2018 00:00,0.1,10.29,88.42,0.4,16500
29/12/2018 00:00,0.1,11,90.04,2.4,19750
30/12/2018 00:00,0,10.47,85.63,1.1,29375
31/12/2018 00:00,0.1,9.46,78.13,0,32500
